imo,vessel_name,vessel_type_nbic,gt_proxy,nbic_type_group,gt_size_tier,in_list_a,sample_bw_mt,sample_arrival_date,DWT,Gross_Tonnage,Ship_Type,Flag,Status
9209506,Triumph Ace,RoRo,56545,RoRo,Large,True,50,2024/10/14,20131,56545,Vehicles Carrier,,ok
8912132,Green Honduras,Reefer,7743,Reefer,Small,False,481,2024/3/14,7726,7743,Refrigerated Cargo Ship,,ok
9043055,Green Maveric,Reefer,5103,Reefer,Small,False,213,2024/3/2,6105,5103,Refrigerated Cargo Ship,,ok
8912120,Green Costa Rica,Reefer,7743,Reefer,Small,False,555,2024/8/11,7726,7743,Refrigerated Cargo Ship,,ok
8912144,Green Guatemala,Reefer,7743,Reefer,Small,False,588,2024/3/13,8583,7743,Refrigerated Cargo Ship,,ok
8917572,Peruvian Reefer,Reefer,7944,Reefer,Medium,False,582,2024/12/12,11095,7944,Refrigerated Cargo Ship,,ok
9063653,FRIO ANTARCTIC,Reefer,9438,Reefer,Medium,False,5,2024/9/30,9357,9438,Refrigerated Cargo Ship,,ok
8917584,Wellington Star,Reefer,7944,Reefer,Medium,False,940,2024/5/11,11103,7944,Refrigerated Cargo Ship,,ok
9181144,Baltic Heather,Reefer,9859,Reefer,Large,False,267,2024/8/26,10114,9859,Refrigerated Cargo Ship,,ok
9172959,COOL ROYAL,Reefer,11382,Reefer,Large,True,67,2024/3/27,12906,11382,Refrigerated Cargo Ship,,ok
9167801,COOL MAGNUS,Reefer,11382,Reefer,Large,False,136,2024/12/25,12906,11382,Refrigerated Cargo Ship,,ok
9055709,Fegulus,Reefer,10374,Reefer,Large,False,852,2024/4/8,10545,10374,Refrigerated Cargo Ship,,ok
9845910,VIKING NEPTUNE,Passenger,47878,Passenger,Small,False,66,2024/12/30,4465,47878,Passenger (Cruise) Ship,,ok
9224726,Carnival Legend,Passenger,85942,Passenger,Small,False,262,2024/12/29,7089,85942,Passenger (Cruise) Ship,,ok
9120877,Carnival Paradise,Passenger,71925,Passenger,Small,False,252,2024/12/28,6894,71925,Passenger (Cruise) Ship,,ok
9070058,Carnival Sunshine,Passenger,103881,Passenger,Medium,False,322,2024/12/30,11142,103881,Passenger (Cruise) Ship,,ok
9333149,Carnival Freedom,Passenger,110556,Passenger,Medium,False,644,2024/12/30,12870,110556,Passenger (Cruise) Ship,,ok
