voyage_id,vessel_type,cluster,dwt,n_ports,nz_dest_port,total_span_days,p_invasion,pa_mean,pi_mean,pe_mean
1459,RoRo,0,14906,7,AUCKLAND,27.50262731,0.0004045722,0.9999793333333332,0.5093036466666666,0.00013235833333333333
1462,RoRo,0,14906,7,AUCKLAND,24.6646412,0.0004162021,0.9999793333333332,0.52404214,0.00013235833333333333
1463,RoRo,0,14906,7,AUCKLAND,28.94438657,0.000396004,0.9999793333333332,0.5083445916666666,0.000129145
1466,RoRo,0,14906,7,AUCKLAND,29.45114583,0.0003938524,0.9999793333333332,0.5053992333333333,0.000129145
1467,RoRo,0,14906,7,AUCKLAND,33.89592593,0.0003770123,0.9999793333333332,0.4836649016666667,0.000129145
1468,RoRo,0,14906,7,AUCKLAND,31.85354167,0.0003820334,0.9999793333333332,0.49028597333333335,0.000129145
1469,RoRo,4,14906,7,AUCKLAND,55.84207176,0.000281953,0.9999793333333332,0.36118201,0.000129145
1470,RoRo,0,14906,7,AUCKLAND,25.98094907,0.0003865013,0.9999851666666667,0.49998823499999995,0.00012885166666666667
1471,RoRo,0,14906,5,AUCKLAND,17.40372685,0.0002965326,1.0,0.5890251774999999,0.00012713
1472,RoRo,4,14906,6,AUCKLAND,39.81502315,0.0003331983,0.9999826,0.5261023779999999,0.00012844600000000002
1473,RoRo,0,14906,7,AUCKLAND,31.38136574,0.0003790529,0.9999796666666666,0.48672633333333337,0.00012932333333333333
1474,RoRo,0,14906,7,AUCKLAND,23.3759838,0.000402428,0.9999796666666666,0.5180890383333333,0.00012932333333333333
1475,RoRo,0,14906,7,AUCKLAND,28.57315972,0.0004004686,0.9999793333333332,0.5140738533333333,0.000129145
1476,RoRo,0,14906,7,AUCKLAND,32.02564815,0.0003947272,0.9999793333333332,0.49705584999999997,0.00013235833333333333
1477,RoRo,0,14906,7,AUCKLAND,24.35699074,0.0004132126,0.9999793333333332,0.5202414083333332,0.00013235833333333333
